week,population,police,crime,emp,un,ymale,white,borough
104,158919,13080.684,262,0.60503519,0.050729599,0.080651112,0.6111154,1
1,181286,46213.918,1208,0.72248799,0.04402807,0.055466589,0.76963925,2
2,181286,57539.75,1228,0.69508851,0.036577728,0.061951436,0.84711814,2
3,181286,57848.082,1271,0.71251857,0.046255417,0.081389233,0.79877746,2
4,181286,58207.785,1208,0.66438168,0.058373109,0.069212869,0.69130886,2
5,181286,57069.832,1171,0.73735571,0.032943331,0.069973953,0.72006643,2
6,181286,58325.668,1321,0.73144919,0.050626282,0.047896732,0.71435177,2
7,181286,57421.168,1251,0.72856486,0.049086519,0.072315544,0.72884852,2
8,181286,56275.684,1116,0.68050677,0.044433951,0.064960174,0.71129918,2
9,181286,57592.801,1193,0.65863127,0.040885765,0.07565961,0.6614356,2
10,181286,57401.082,1191,0.72792023,0.036218386,0.064777464,0.72665441,2
11,181286,55079.75,1152,0.71778637,0.035152763,0.066426121,0.65818852,2
12,181286,56558.25,1108,0.71964097,0.03643211,0.044585075,0.75476664,2
13,181286,57177,1203,0.729011,0.036480445,0.057652134,0.7234509,2
14,181286,56295.117,1171,0.74294412,0.051875778,0.074407294,0.76429248,2
15,181286,43166.168,1089,0.73709881,0.048504777,0.054222621,0.85335886,2
16,181286,56989.5,1153,0.70995367,0.025918057,0.071252607,0.76797968,2
17,181286,60172.832,1267,0.7117272,0.03912843,0.0778317,0.71120411,2
18,181286,52946.75,1154,0.72197324,0.022420067,0.080445662,0.73886997,2
19,181286,57942.332,1216,0.72227752,0.039471965,0.044341087,0.7261306,2
20,181286,59713.766,1229,0.72356379,0.040060487,0.055888664,0.74308044,2
21,181286,59689.633,1230,0.71179914,0.032012794,0.070186049,0.72106051,2
22,181286,50810.699,1149,0.64717317,0.031930737,0.072463855,0.65094692,2
23,181286,57843.832,1198,0.71325469,0.03432408,0.085041605,0.68066853,2
24,181286,60217.582,1178,0.66834581,0.058138214,0.073837653,0.62906891,2
25,181286,56016.25,1139,0.73798174,0.047032889,0.044574607,0.71334547,2
26,181286,56275.867,1151,0.70841312,0.041201603,0.04880137,0.70179427,2
27,181286,57975.949,1221,0.70807123,0.05966128,0.061208632,0.73155582,2
28,181286,57123.883,1220,0.72320348,0.060392044,0.058519576,0.83104753,2
29,181286,59410.25,1309,0.69805175,0.044461917,0.077513754,0.7905193,2
30,181286,53631.168,1283,0.74278849,0.049609441,0.063124463,0.71062964,2
31,181286,53279,1264,0.71853501,0.030784803,0.075455889,0.71410781,2
32,181286,52435.852,1269,0.71767646,0.040678378,0.065290697,0.71363282,2
33,181286,51930.5,1250,0.70795977,0.064937845,0.056677837,0.71099848,2
34,181286,50978.332,1222,0.73277086,0.02404739,0.063379288,0.73045844,2
35,181286,55576.102,1140,0.69436473,0.045215305,0.067241684,0.68438238,2
36,181286,53407.168,1264,0.70210195,0.037001457,0.07371787,0.72183448,2
37,181286,56537.418,1194,0.64532864,0.072760828,0.058901209,0.65655351,2
38,181286,57670.602,1290,0.72395092,0.042762961,0.060927119,0.72293866,2
39,181286,57763,1210,0.70579195,0.053852282,0.059951421,0.70024025,2
40,181286,59956.332,1195,0.71576095,0.056776986,0.051464066,0.77285749,2
41,181286,56613.668,1199,0.69955212,0.054894108,0.060967356,0.80730599,2
42,181286,60785.434,1225,0.67408156,0.046617679,0.065697394,0.78250813,2
43,181286,56208.883,1224,0.73697102,0.040691677,0.062293649,0.68098813,2
44,181286,56622.016,1219,0.74527544,0.025308965,0.068705648,0.70946527,2
45,181286,57223.25,1215,0.76032346,0.026701184,0.077290349,0.72499317,2
46,181286,60805.867,1281,0.70136935,0.047086891,0.058009062,0.71411586,2
47,181286,59004.332,1343,0.74110329,0.029231256,0.087157354,0.74359667,2
48,181286,58867.832,1315,0.6642803,0.063708939,0.063730441,0.60502154,2
49,181286,57876.168,1297,0.72983384,0.028575595,0.053236738,0.75121677,2
50,181286,57849.465,1245,0.65092373,0.055815879,0.06782449,0.58836931,2
51,181286,53489.051,1228,0.72888768,0.047835678,0.061200973,0.75286728,2
52,181286,31559.666,885,0.70453006,0.0393176,0.061019432,0.6918118,2
53,181286,42997.582,1124,0.72970331,0.05912073,0.072739907,0.71293736,2
54,181286,57188,1194,0.69449401,0.049254511,0.073837779,0.76948041,2
55,181286,57144,1271,0.64738238,0.056552574,0.065791786,0.75314391,2
56,181286,56115,1093,0.77112651,0.021795709,0.058202095,0.7323522,2
57,181286,55432,1019,0.71241009,0.041671623,0.060041595,0.70731324,2
58,181286,56759,1067,0.75251621,0.029962715,0.077402249,0.74812895,2
59,181286,55578,1100,0.66583109,0.067580707,0.066614695,0.73390466,2
